date_captured,road_name,section_start,section_end,suburb,direction_1,vehicles_1,direction_2,vehicles_2,volume_per_day,85th_percentile_speed
2010-Oct,Rose Street,Brighton Street,Mary Street,Richmond,East/North,837,West/South,2,839,36.7
2010-Oct,The Esplanade,Heidelberg Road,Spensley Street,Clifton Hill,East/North,678,West/South,640,1318,53.3
2010-Oct,The Esplanade,Heidelberg Road,Spensley Street,Clifton Hill,East/North,678,West/South,640,1318,53.3
2010-Oct,Turnbull Street,Hodgkinson Street,North Terrace,Clifton Hill,East/North,338,West/South,288,626,45.4
2010-Oct,Wellington Street,Langridge Street,Peel Street,Collingwood,East/North,5745,West/South,7104,12849,51.1
2010-Oct,Wellington Street,Singleton Street,Vere Street,Collingwood,East/North,7392,West/South,8081,15473,52.2
2009-Oct,Buckingham Street,Burnley Street,Davison Street,Richmond,East/North,1395,West/South,1466,2861,39.6
2009-Oct,Highett Street,Freeman Street,Lennox Street,Richmond,East/North,2210,West/South,3261,5471,43.9
2009-Oct,Holden Street,Bennett Street,St Georges Road,Fitzroy North,East/North,2587,West/South,2838,5425,44.3
2009-Oct,Langridge Street,Charles Street,Park Street,Abbotsford,East/North,3081,West/South,3534,6615,47.2
2009-Oct,Little Hoddle Street,Elizabeth Street,Victoria Street,Richmond,East/North,34,West/South,121,155,25.6
2009-Oct,Little Oxford Street,Langridge Street,Peel Street,Collingwood,East/North,306,West/South,10,316,37.8
2009-Oct,Michael Street,McKean Street,Rowe Street,Fitzroy North,East/North,3194,West/South,3624,6818,49.7
2009-Oct,Nicholson Street,Langridge Street,Victoria Street,Abbotsford,East/North,2481,West/South,2754,5235,45.7
2009-Oct,Nicholson Street,Gipps Street,Langridge Street,Abbotsford,East/North,3595,West/South,3563,7158,43.2
2009-Oct,Ramsden Street,Hoddle Street,John Street,Clifton Hill,East/North,1318,West/South,1124,2442,30.6
2009-Oct,Reid Street,Brunswick Street,Rae Street,Fitzroy North,East/North,2114,West/South,2602,4716,42.5
2009-Oct,Rushall Crescent,McKean Street,Queens Parade,Fitzroy North,East/North,2996,West/South,2729,5725,37.8
2009-Oct,Scotchmer Street,Fergie Street,Mark Street,Fitzroy North,East/North,3630,West/South,3189,6819,46.4
2009-Oct,Scotchmer Street,Best Street,Birkenhead Street,Fitzroy North,East/North,4421,West/South,4347,8768,44.3
2009-Oct,Trenerry Crescent,Eastern Freeway overpass,Grey Street,Clifton Hill,East/North,3934,West/South,2386,6320,52.6
2018-Nov,Miller Street,Ida Street,King Street,Fitzroy North,East/North,1812,West/South,1652,3464,40
2017-Nov,Abbotsford Street,Hunter Street,Paterson Street,Abbotsford,East/North,925,West/South,457,1382,39.6
2017-Nov,Alfred Street,Batman Street,Rae Street,Fitzroy North,East/North,0,West/South,149,149,25.2
2017-Nov,Amess Street,Park Street,Pigdon Street,Carlton North,East/North,514,West/South,539,1053,47.4
2017-Nov,Balmain Street,Cubitt Street,Dover Street,Richmond,East/North,2347,West/South,3360,5707,38.7
2017-Nov,Bendigo Street,Khartoum Street,Moore Street,Richmond,East/North,1895,West/South,2052,3947,37.3
2017-Nov,Birkenhead Street,Park Street,Scotchmer Street,Fitzroy North,East/North,515,West/South,501,1016,38.2
2017-Nov,Boland Street,Burnley Street,Type Street,Richmond,East/North,293,West/South,177,470,39.5
2017-Nov,Bowen Crescent,Holtom Street West,Pigdon Street,Carlton North,East/North,3721,West/South,4613,8334,31.3
2017-Nov,Brunswick Street North,Reid Street,Scotchmer Street,Fitzroy North,East/North,1132,West/South,773,1905,40.3
2017-Nov,Brunswick Street North,Park Street,Holden Street,Fitzroy North,East/North,1182,West/South,1522,2704,35.8
2017-Nov,Brunswick Street North,Park Street,Scotchmer Street,Fitzroy North,East/North,1203,West/South,1526,2729,36.8
2017-Nov,Charles Street,Gipps Street,Vere Street,Abbotsford,East/North,219,West/South,263,482,41
2017-Nov,Charles Street,Gipps Street,Langridge Street,Abbotsford,East/North,308,West/South,367,675,43.6
2017-Nov,Church Street,Nicholson Street,St Georges Road,Fitzroy North,East/North,433,West/South,283,716,34.1
2017-Nov,Clarke Street,Abbotsford Street,St Heliers Street,Abbotsford,East/North,624,West/South,147,771,28.1
2017-Nov,Clarke Street,Johnston Street,St Heliers Street,Abbotsford,East/North,1299,West/South,1163,2462,33.1
2017-Nov,Clauscen Street,Nicholson Street,Rae Street,Fitzroy North,East/North,348,West/South,280,628,36.7
2017-Nov,Clauscen Street,Melville Street,Rae Street,Fitzroy North,East/North,286,West/South,390,676,37.6
2017-Nov,Cutter Street,Bliss Street,Farmer Street,Richmond,East/North,317,West/South,7,324,31.6
2017-Nov,Dickens Street,Burnley Street,Type Street,Richmond,East/North,125,West/South,3,128,29
2017-Nov,Farmer Street,Burnley Street,Cutter Street,Richmond,East/North,3,West/South,373,376,30.5
2017-Nov,Flockhart Street,Shamrock Street,Victoria Street,Abbotsford,East/North,1250,West/South,1490,2740,36.8
2017-Nov,Freeman Street,Bowen Street,Muir Street,Richmond,East/North,3,West/South,170,173,33.03
2017-Nov,Freeman Street,Rae Street,St Georges Road,Fitzroy North,East/North,750,West/South,322,1072,36.7
2017-Nov,Freeman Street,Nicholson Street,St Georges Road,Fitzroy North,East/North,842,West/South,243,1085,45.8
2017-Nov,Holden Street,Dean Street,Porter Street,Fitzroy North,East/North,7345,West/South,7257,14602,50.9
2017-Nov,Ida Street,May Street,Miller Street,Fitzroy North,East/North,523,West/South,453,976,28.5
2017-Nov,Langridge Street,Charles Street,Park Street,Abbotsford,East/North,2935,West/South,4066,7001,41.6
2017-Nov,Lithgow Street,Mollison Street,Victoria Street,Abbotsford,East/North,487,West/South,167,654,37.8
2017-Nov,Liverpool Street,Nicholson Street,Rae Street,Fitzroy North,East/North,259,West/South,114,373,36.4
2017-Nov,Marine Parade,Nicholson Street,Hunter Street,Abbotsford,East/North,880,West/South,692,1572,36.7
2017-Nov,Miller Street,Taylor Street,White Street,Fitzroy North,East/North,1601,West/South,1256,2857,39
2017-Nov,Murray Street,Church Street,Mayfield Street,Abbotsford,East/North,6746,West/South,6535,13281,33.8
2017-Nov,Nelson Street,Church Street,Fairchild Street,Abbotsford,East/North,2365,West/South,2629,4994,45.5
2017-Nov,Newry Street,Rae Street,St Georges Road,Fitzroy North,East/North,622,West/South,431,1053,35.3
2017-Nov,Nicholson Street,Gipps Street,Mollison Street,Abbotsford,East/North,3042,West/South,3061,6103,37.6
2017-Nov,Nicholson Street,Studley Street,Yarra Street,Abbotsford,East/North,7076,West/South,5571,12647,38.5
2017-Nov,Nicholson Street,Gipps Street,Harper Street,Abbotsford,East/North,6040,West/South,6702,12742,41.1
2017-Nov,Park Street,Birkenhead Street,Brunswick Street North,Fitzroy North,East/North,239,West/South,0,239,32.1
2017-Nov,Park Street,Nicholson Street,Rae Street,Fitzroy North,East/North,0,West/South,611,611,42.9
2017-Nov,Park Street,Greenwood Street,Victoria Street,Abbotsford,East/North,17,West/South,872,889,39.2
2017-Nov,Park Street,Johnston Street,Stafford Street,Abbotsford,East/North,579,West/South,469,1048,33.1
2017-Nov,Park Street,Studley Street,Yarra Street,Abbotsford,East/North,629,West/South,473,1102,28.1
2017-Nov,Rae Street,Holden Street,Park Street,Fitzroy North,East/North,336,West/South,301,637,30.4
2017-Nov,Rae Street,Freeman Street,St Georges Road,Fitzroy North,East/North,240,West/South,676,916,32
2017-Nov,Rae Street,Park Street,Scotchmer Street,Fitzroy North,East/North,515,West/South,501,1016,38.2
2017-Nov,Rae Street,Reid Street,Scotchmer Street,Fitzroy North,East/North,505,West/South,813,1318,41.2
2017-Nov,Rae Street,Freeman Street,Newry Street,Fitzroy North,East/North,196,West/South,1129,1325,31
2017-Nov,Rae Street,Barkly Street,Holden Street,Fitzroy North,East/North,232,West/South,1432,1664,38.4
2017-Nov,Rae Street,Newry Street,York Street,Fitzroy North,East/North,261,West/South,1463,1724,35.5
2017-Nov,Rae Street,Alexandra Parade,York Street,Fitzroy North,East/North,237,West/South,1506,1743,40.4
2017-Nov,Rae Street,Barkly Street,Clauscen Street,Fitzroy North,East/North,1010,West/South,1470,2480,38.8
2017-Nov,Reid Street,Brunswick Street North,Rae Street,Fitzroy North,East/North,1759,West/South,2865,4624,44
2017-Nov,Reid Street,Nicholson Street,Rae Street,Fitzroy North,East/North,2374,West/South,2831,5205,42
2017-Nov,Richardson Street,Drummond Street,Rathdowne Street,Carlton North,East/North,1036,West/South,1100,2136,32.8
2017-Nov,Scotchmer Street,Nicholson Street,Rae Street,Fitzroy North,East/North,2815,West/South,3137,5952,41.1
2017-Nov,Scotchmer Street,Birkenhead Street,Brunswick Street North,Fitzroy North,East/North,4158,West/South,3746,7904,39
2017-Nov,South Hampton Crescent,Duke Street,Grosvenor Street,Abbotsford,East/North,831,West/South,765,1596,28.2
2017-Nov,Southampton Crescent,Duke Street,Grosvenor Street,Abbotsford,East/North,831,West/South,765,1596,28.2
2017-Nov,St Georges Road,Freeman Street,Newry Street,Fitzroy North,East/North,234,West/South,414,648,44.1
2017-Nov,St Heliers Street,Clarke Street,Yarra River,Abbotsford,East/North,982,West/South,1016,1998,26.6
2017-Nov,St Phillips Street,Gipps Street,Vere Street,Abbotsford,East/North,98,West/South,106,204,34.2
2017-Nov,Stafford Street,Hoddle Street,Park Street,Abbotsford,East/North,275,West/South,9,284,33.8
2017-Nov,Stawell Street,Khartoum Street,Swan Street,Richmond,East/North,592,West/South,993,1585,37.3
2017-Nov,Stawell Street,Glasshouse Street,Stillman Street,Richmond,East/North,798,West/South,867,1665,36
2017-Nov,Stillman Street,Burnley Street,Type Street,Richmond,East/North,202,West/South,289,491,37.8
2017-Nov,Studley Street,Hoddle Street,Park Street,Abbotsford,East/North,12,West/South,532,544,36.4
2017-Nov,Taplin Street,Park Street,St Georges Road,Fitzroy North,East/North,132,West/South,63,195,37.7
2017-Nov,Taylor Street,Glenlyon Road,Miller Street,Fitzroy North,East/North,247,West/South,237,484,47.8
2017-Nov,Tudor Street,Bridge Road,Longfield Street,Richmond,East/North,521,West/South,311,832,39.1
2017-Nov,Type Street,Dickens Street,Stillman Street,Richmond,East/North,332,West/South,375,707,33.7
2017-Nov,Vere Street,Charles Street,St Phillips Street,Abbotsford,East/North,105,West/South,784,889,31.3
2017-Nov,Vere Street,Hoddle Street,Park Street,Abbotsford,East/North,6,West/South,973,979,33.5
2017-Nov,Westbank Terrace,Campbell Street,Park Avenue,Richmond,East/North,1655,West/South,1963,3618,45.6
2017-Nov,White Street,Glenlyon Road,Pleasance Street,Fitzroy North,East/North,881,West/South,679,1560,45.1
2017-Nov,Yarra Boulevard,Bridge Road,Park Avenue,Richmond,East/North,3395,West/South,4982,8377,47.8
2017-Nov,Yarra Boulevard,Bridge Road,Park Avenue,Richmond,East/North,3559,West/South,4975,8534,49.4
2017-Nov,Yarra Street,Hoddle Street,Park Street,Abbotsford,East/North,475,West/South,4,479,34.2
2017-Nov,York Street,Brunswick Street,Rae Street,Fitzroy North,East/North,306,West/South,467,773,36.5
2017-Nov,York Street,Nicholson Street,Rae Street,Fitzroy North,East/North,518,West/South,385,903,34.9
2016-Nov,Boland Street,Burnley Street,Type Street,Richmond,East/North,293,West/South,177,470,39.5
2016-Nov,Brougham Street,Lyndhurst Street,Mary Street,Richmond,East/North,252,West/South,115,367,31.7
2016-Nov,Brunswick Street North,Scotchmer Street,Tranmere Street,Fitzroy North,East/North,745,West/South,1088,1833,40.7
2016-Nov,Brunswick Street North,Park Street,Scotchmer Street,Fitzroy North,East/North,929,West/South,1478,2407,40.3
2016-Nov,Dickens Street,Burnley Street,Type Street,Richmond,East/North,125,West/South,3,128,29
2016-Nov,Easey Street,Gold Street,Hoddle Street,Collingwood,East/North,401,West/South,285,686,42.6
2016-Nov,Napier Street,Argyle Street,Johnston Street,Fitzroy,East/North,1627,West/South,1882,3509,36.7
2016-Nov,Park Street,Amess Street,Canning Street,Carlton North,East/North,1723,West/South,2043,3766,41.4
2016-Nov,Rae Street,Newry Street,York Street,Fitzroy North,East/North,302,West/South,1532,1834,35.6
2016-Nov,Richardson Street,Drummond Street,Lygon Street,Carlton North,East/North,1103,West/South,981,2084,34.6
2016-Nov,Richardson Street,Drummond Street,Rathdowne Street,Carlton North,East/North,1036,West/South,1100,2136,32.8
2016-Nov,Wellington Street,Hotham Street,Keele Street,Collingwood,East/North,5688,West/South,6324,12012,42.1
2015-Nov,Bendigo Street,Khartoum Street,Moore Street,Richmond,East/North,1939,West/South,1980,3919,44.6
2015-Nov,Bendigo Street,Bellevue Street,Jago Street,Richmond,East/North,2156,West/South,2082,4238,41
2015-Nov,Birkenhead Street,Park Street,Scotchmer Street,Fitzroy North,East/North,166,West/South,122,288,39.6
2015-Nov,Birkenhead Street,Park Street,Scotchmer Street,Fitzroy North,East/North,225,West/South,195,420,37.8
2015-Nov,Bowen Crescent,Holtom Street West,Lang Street,Carlton North,East/North,4362,West/South,4001,8363,36.7
2015-Nov,Walnut Street,Balmain Street,Gordon Street,Richmond,East/North,92,West/South,51,143,22.7
2015-Nov,Walnut Street,Balmain Street,Gordon Street,Richmond,East/North,111,West/South,70,181,22.3
2014-Nov,Alexandra Parade East,Groom Street,Rutland Street,Clifton Hill,East/North,127,West/South,68,195,38.9
2014-Nov,Clifton Street,Gipps Street,Swan Street,Richmond,East/North,413,West/South,543,956,41
2014-Nov,Dally Street,Clifton Avenue,Kiewa Street,Clifton Hill,East/North,68,West/South,106,174,32.4
2014-Nov,George Street,Argyle Street,Johnston Street,Fitzroy,East/North,972,West/South,823,1795,40
2014-Nov,George Street,Moor Street,St David Street,Fitzroy,East/North,1006,West/South,888,1894,40.3
2014-Nov,Gipps Street,Carroll Street,Lennox Street,Richmond,East/North,1140,West/South,2032,3172,38.5
2014-Nov,Gipps Street,Church Street,Dickmann Street,Richmond,East/North,1630,West/South,1562,3192,36
2014-Nov,Gore Street,Leicester Street,Rose Street,Fitzroy,East/North,925,West/South,747,1672,42.1
2014-Nov,Gore Street,Argyle Street,Johnston Street,Fitzroy,East/North,1114,West/South,778,1892,41.4
2014-Nov,Lennox Street,Gipps Street,Swan Street,Richmond,East/North,2086,West/South,3968,6054,40.3
2014-Nov,Lennox Street,Bridge Road,Goodwood Street,Richmond,East/North,3134,West/South,4120,7254,35.6
2014-Nov,Lennox Street,Richmond Terrace,Rowena Parade,Richmond,East/North,3428,West/South,4133,7561,33.8
2014-Nov,Liverpool Street,Nicholson Street,Rae Street,Fitzroy North,East/North,483,West/South,329,812,36.7
2014-Nov,Napier Street,Argyle Street,Johnston Street,Fitzroy,East/North,1059,West/South,1410,2469,37.1
2014-Nov,Park Street,Nicholson Street,Rae Street,Fitzroy North,East/North,3,West/South,908,911,41
2014-Nov,Rae Street,Liverpool Street,Scotchmer Street,Fitzroy North,East/North,1061,West/South,744,1805,41
2014-Nov,Rae Street,Reid Street,Scotchmer Street,Fitzroy North,East/North,891,West/South,1502,2393,41.4
2014-Nov,Reid Street,Brunswick Street,Rae Street,Fitzroy North,East/North,3199,West/South,3633,6832,41.8
2014-Nov,Reid Street,Nicholson Street,Rae Street,Fitzroy North,East/North,4093,West/South,4004,8097,37.8
2014-Nov,Rotherwood Street,Goodwood Street,The Crofts,Richmond,East/North,362,West/South,615,977,33.8
2014-Nov,Rowena Parade,Lennox Street,The Vaucluse,Richmond,East/North,300,West/South,401,701,34.9
2014-Nov,Rushall Crescent,McKean Street,Queens Parade,Fitzroy North,East/North,3306,West/South,2780,6086,41.8
2014-Nov,Scotchmer Street,Brunswick Street,Rae Street,Fitzroy North,East/North,1045,West/South,1889,2934,37.4
2014-Nov,Stanley Street,Gipps Street,Swan Street,Richmond,East/North,599,West/South,560,1159,40.7
2014-Nov,Tanner Street,Botherambo Street,Wangaratta Street,Richmond,East/North,905,West/South,561,1466,35.6
2014-Nov,Waltham Street,Bridge Road,Goodwood Street,Richmond,East/North,572,West/South,486,1058,34.9
2014-Nov,Westgarth Street,Fitzroy Street,Nicholson Street,Fitzroy,East/North,416,West/South,420,836,39.6
2014-Nov,Westgarth Street,Gore Street,Smith Street,Fitzroy,East/North,1380,West/South,1085,2465,38.9
2014-Nov,White Street,Dunn Street,Railway Crescent,Richmond,East/North,122,West/South,12,134,25.2
2013-Nov,Brunswick Street North,Reid Street,St Georges Road,Fitzroy North,East/North,1023,West/South,573,1596,41.8
2013-Nov,Corsair Street,Fraser Street,Hunter Street,Richmond,East/North,668,West/South,20,688,25.9
2013-Nov,Dorset Street,Wellington Street,ROW,Collingwood,East/North,70,West/South,6,76,20.2
2013-Nov,Drummond Street,Curtain Street,Fenwick Street,Carlton North,East/North,376,West/South,1025,1401,46.8
2013-Nov,Hodgkinson Street,Hilton Street,Smith Street,Clifton Hill,East/North,336,West/South,482,818,36.7
2013-Nov,Lord Street,Corsair Street,Murray Street,Richmond,East/North,500,West/South,25,525,36.4
2013-Nov,Otter Street,Bedford Street,Wellington Street,Collingwood,East/North,1033,West/South,1033,2066,37.8
2013-Nov,Park Street,Stanton Street,Vere Street,Abbotsford,East/North,459,West/South,11,470,33.1
2013-Nov,Taylor Street,Glenlyon Road,Miller Street,Fitzroy North,East/North,277,West/South,202,479,48.6
2013-Nov,Vere Street,Park Street,Nicholson Street,Abbotsford,East/North,13,West/South,632,645,23.4
2013-Nov,Vere Street,Hoddle Street,Park Street,Abbotsford,East/North,18,West/South,789,807,34.2
2013-Nov,Yarra Street,Hoddle Street,Park Street,Abbotsford,East/North,464,West/South,12,476,37.4
2013-Nov,Yarra Street,Nicholson Street,Park Street,Abbotsford,East/North,472,West/South,14,486,38.9
2012-Nov,Clifton Avenue,Ramsden Street,Roseneath Street,Clifton Hill,East/North,10,West/South,757,767,44.3
2012-Nov,Fenwick Street,O'Grady Street,Spensley Street,Clifton Hill,East/North,2831,West/South,1084,3915,38.2
2012-Nov,Field Street,Ramsden Street,Roseneath Street,Clifton Hill,East/North,269,West/South,1025,1294,45.7
2012-Nov,Freeman Street,Rae Street,St Georges Road,Fitzroy North,East/North,524,West/South,350,874,36.7
2012-Nov,Freeman Street,Nicholson Street,St Georges Road,Fitzroy North,East/North,618,West/South,301,919,45.5
2012-Nov,Gordon Street,Ramsden Street,Roseneath Street,Clifton Hill,East/North,960,West/South,9,969,39.6
2012-Nov,Gray Street,Noone Street,Roseneath Street,Clifton Hill,East/North,2686,West/South,2292,4978,44.6
2012-Nov,Little Oxford Street,Peel Street,Langridge Street,Collingwood ,East/North,307,West/South,26,333,35.3
2012-Nov,Myrtle Street,Ramsden Street,Roseneath Street,Clifton Hill,East/North,5,West/South,1142,1147,43.2
2012-Nov,North Terrace,Hoddle Street,Gold Street,Clifton Hill,East/North,932,West/South,774,1706,43.6
2012-Nov,Roseneath Street,Gray Street,Field Street,Clifton Hill,East/North,387,West/South,1099,1486,42.8
2012-Nov,Roseneath Street,Gray Street,Kiewa Street,Clifton Hill,East/North,2092,West/South,1398,3490,40.7
2012-Nov,Yambla Street,Roseneath Street,Ramsden Street,Clifton Hill,East/North,1880,West/South,44,1924,33.8
2012-Nov,Young Street,Alexandra Parade,Cecil Street,Fitzroy North,East/North,275,West/South,48,323,31.7
2012-Nov,Young Street,Cecil Street,Westgarth Street,Fitzroy North,East/North,414,West/South,26,440,32.8
2011-Nov,Abbott Street,Lulie Street,Trenerry Crescent,Abbotsford ,East/North,312,West/South,354,666,41.4
2011-Nov,Berry Street,Church Street,Waltham Street,Richmond,East/North,8,West/South,78,86,34.2
2011-Nov,Bromham Place,Risley Street,Tweedie Place,Richmond,East/North,9,West/South,529,538,33.8
2011-Nov,Davison Street,Highett Street,Somerset Street,Richmond,East/North,1374,West/South,739,2113,37.4
2011-Nov,Gold Street,Easey Street,Sackville Street,Collingwood ,East/North,1174,West/South,1036,2210,41.8
2011-Nov,Lennox Street,Gipps Street,Richmond Terrace,Richmond,East/North,2970,West/South,3358,6328,38.9
2011-Nov,Lennox Street,Gipps Street,Richmond Terrace,Richmond,East/North,2970,West/South,3358,6328,38.9
2011-Nov,Lulie Street,Abbott Street,Turner Street,Alphington ,East/North,849,West/South,917,1766,49
2011-Nov,Maugie Street,Lulie Street,Trenerry Crescent,Abbotsford ,East/North,432,West/South,490,922,46.8
2011-Nov,Rae Street,Scotchmer Street,Reid Street,Fitzroy North,East/North,476,West/South,1031,1507,60.6
2011-Nov,Rogers Street,Rowena Parade,Richmond Terrace,Richmond,East/North,0,West/South,62,62,26.3
2011-Nov,Trenerry Crescent,Abbott Street,Turner Street,Abbotsford ,East/North,4024,West/South,2583,6607,41.8
2011-Nov,Trenerry Crescent,Johnston Street,Turner Street,Abbotsford ,East/North,4155,West/South,2467,6622,35.3
2011-Nov,Trenerry Crescent,The Bend,Noone Street,Clifton Hill,East/North,4336,West/South,2783,7119,50
2011-Nov,Trenerry Crescent,East of Dights Fall car park,,Abbotsford ,East/North,4384,West/South,2762,7146,52.9
2011-Nov,Turner Street,Bath Street,Lulie Street,Abbotsford ,East/North,316,West/South,354,670,46.8
2011-Nov,Turner Street,Bath Street,Trenerry Crescent,Abbotsford ,East/North,443,West/South,769,1212,47.9
2010-Nov,Austin Way,Best Street,Lane number 2090,Fitzroy North,East/North,18,West/South,18,36,22.7
2010-Nov,Gore Street,Gertrude Street,Little Victoria Street,Fitzroy,East/North,668,West/South,464,1132,45.4
2010-Nov,Gore Street,Gertrude Street,Little Victoria Street,Fitzroy,East/North,668,West/South,464,1132,45.4
2010-Nov,Greeves Street,George Street,Gore Street,Fitzroy,East/North,529,West/South,27,556,34.9
2010-Nov,Greeves Street,George Street,Gore Street,Fitzroy,East/North,529,West/South,27,556,34.9
2010-Nov,Kerr Street,Fitzroy Street,Spring Street,Fitzroy,East/North,1209,West/South,553,1762,36
2010-Nov,Kerr Street,Fitzroy Street,Spring Street,Fitzroy,East/North,1209,West/South,553,1762,36
2010-Nov,Laity Street,Church Street,Lambert Street,Richmond,East/North,262,West/South,8,270,37.1
2010-Nov,Laity Street,Church Street,Lambert Street,Richmond,East/North,262,West/South,8,270,37.1
2010-Nov,Lane number 320.1,Johnston Street,Valiant Street,Abbotsford,East/North,17,West/South,3,20,22.7
2010-Nov,Little Buckingham Street,Church Street,Lambert Street,Richmond,East/North,41,West/South,45,86,31
2010-Nov,Little Oxford Street,Langridge Street,Peel Street,Collingwood,East/North,291,West/South,29,320,36
2010-Nov,MacPherson Street,Arnold Street,Wilson Street,Carlton North,East/North,1398,West/South,605,2003,50.8
2010-Nov,Masons Lane,Johnston Street,Valiant Street,Abbotsford,East/North,5,West/South,50,55,19.4
2010-Nov,Masons Lane,Johnston Street,Valiant Street,Abbotsford,East/North,5,West/South,50,55,19.4
2010-Nov,Pigdon Street,McIlwraith Street,Wilson Street,Carlton North,East/North,3539,West/South,2976,6515,42.1
2010-Nov,Scotchmer Street,Mark Street,Woodhead Street,Fitzroy North,East/North,3343,West/South,3500,6843,50
2010-Nov,Scotchmer Street,Mark Street,Woodhead Street,Fitzroy North,East/North,3343,West/South,3500,6843,50
2010-Nov,Scotchmer Street,Best Street,Birkenhead Street,Fitzroy North,East/North,4494,West/South,4467,8961,42.8
2009-Nov,Easey Street,Budd Street,Smith Street,Collingwood,East/North,596,West/South,519,1115,36.7
2009-Nov,Fenwick Street,O'Grady Street,Spensley Street,Clifton Hill,East/North,2760,West/South,1056,3816,38.5
2009-Nov,Hotham Street,Emma Street,Wellington Street,Collingwood,East/North,206,West/South,243,449,47.9
2009-Nov,Keele Street,Budd Street,Smith Street,Collingwood,East/North,498,West/South,434,932,41
2009-Nov,Lane number 307,Nicholson Street,Park Street,Abbotsford,East/North,23,West/South,20,43,28.4
2009-Nov,Little Smith Street,Gertrude Street,Victoria Street,Fitzroy,East/North,50,West/South,76,126,28.4
2009-Nov,Mater Street,Smith Street,Wellington Street,Collingwood,East/North,375,West/South,460,835,40.3
2009-Nov,Park Grove,Brooks Street,Survey Street,Richmond,East/North,121,West/South,102,223,38.9
2009-Nov,Parkins Lane,Cremorne Street,Wellington Street,Richmond,East/North,19,West/South,52,71,24.8
2009-Nov,Rae Street,Reid Street,Scotchmer Street,Fitzroy North,East/North,447,West/South,970,1417,42.5
2009-Nov,Sackville Street,Budd Street,Smith Street,Collingwood,East/North,536,West/South,549,1085,46.4
2009-Nov,White Street,Glenlyon Road,Pleasance Street,Fitzroy North,East/North,659,West/South,467,1126,46.1
2018-Dec,Clifford Place,Williams Street,Louise Street,Clifton Hill,East/North,80,West/South,25,105,24.5
2018-Dec,Gipps Street,Church Street,Dickmann Street,Richmond,East/North,1941,West/South,2117,4058,36.2
2018-Dec,Little Nicholson Street,Mollison Street,Victoria Street,Abbotsford,East/North,99,West/South,62,161,30.4
2018-Dec,Melville Street,Barkly Street,Clauscen Street,Fitzroy North,East/North,162,West/South,269,431,33.8
2018-Dec,Paterson Street,Wilson Street,McIlwraith Street,Princes Hill,East/North,1189,West/South,303,1492,46.98
2017-Dec,Albert Street,Murray Street,Victoria Crescent,Abbotsford,East/North,6845,West/South,7063,13908,28.4
2017-Dec,Barkly Street,Nicholson Street,Rae Street,Fitzroy North,East/North,721,West/South,680,1401,38.4
2017-Dec,Barkly Street,Dean Street,Rae Street,Fitzroy North,East/North,721,West/South,1421,2142,37.9
2017-Dec,Bliss Street,Burnley Street,Cutter Street,Richmond,East/North,272,West/South,19,291,25.9
2017-Dec,Brooks Street,Bendigo Street,Park Grove,Richmond,East/North,146,West/South,128,274,36.4
2017-Dec,Bunting Street,Farmer Street,Manton Street,Richmond,East/North,2,West/South,312,314,33.1
2017-Dec,Fairchild Street,Nelson Street,Victoria Street,Abbotsford,East/North,8,West/South,236,244,33.5
2017-Dec,Jago Street,Barnett Way,Bendigo Street,Richmond,East/North,400,West/South,310,710,31
2017-Dec,Lane number 2087,Scotchmer Street,Tranmere Street,Fitzroy North,East/North,5,West/South,6,11,19.1
2017-Dec,Park Street,Gipps Street,Langridge Street,Abbotsford,East/North,373,West/South,6,379,42.8
2017-Dec,Raphael Street,Gipps Street,Langridge Street,Abbotsford,East/North,131,West/South,138,269,40
2017-Dec,Stanton Street,Eddy Court,Hoddle Street,Abbotsford,East/North,399,West/South,406,805,33.2
2017-Dec,Victoria Crescent,Gipps Street,Mollison Street,Abbotsford,East/North,5669,West/South,6437,12106,41.4
2017-Dec,Wertheim Street,Jago Street,Kennedy Avenue,Richmond,East/North,213,West/South,5,218,32
2014-Dec,Alphington Street,Heidelberg Road,Park Crescent,Alphington,East/North,214,West/South,247,461,39.2
2014-Dec,Austin Street,Heidelberg Road,Park Crescent,Alphington,East/North,172,West/South,215,387,36.7
2014-Dec,Bosisto Street,Cameron Street,Hull Street,Richmond,East/North,381,West/South,355,736,34.6
2014-Dec,Chapel Street,Napier Street,Young Street,Fitzroy,East/North,548,West/South,170,718,32
2014-Dec,Como Street,Chamouni Street,St Bernards Road,Alphington,East/North,693,West/South,559,1252,41.4
2014-Dec,Constance Street,Como Street,Lucerne Crescent,Alphington,East/North,138,West/South,226,364,38.9
2014-Dec,Gore Street,Gertrude Street,Little Victoria Street,Fitzroy,East/North,615,West/South,606,1221,42.1
2014-Dec,Gore Street,Gertrude Street,Webb Street,Fitzroy,East/North,1222,West/South,620,1842,37.4
2014-Dec,Hodgkinson Street,Gold Street,Turnbull Street,Clifton Hill,East/North,806,West/South,372,1178,33.8
2014-Dec,James Street,Brighton Street,Mary Street,Richmond,East/North,508,West/South,555,1063,38.9
2014-Dec,James Street,Brighton Street,Mary Street,Richmond,East/North,576,West/South,584,1160,36
2014-Dec,Lucerne Crescent,Geneva Road,St Gothards Road,Alphington,East/North,134,West/South,129,263,40.3
2014-Dec,Lucerne Crescent,Chamouni Street,Constance Street,Alphington,East/North,390,West/South,503,893,37.1
2014-Dec,Moor Street,George Street,Gore Street,Fitzroy,East/North,1104,West/South,563,1667,35.3
